user_id	name	review_count	yelping_since	fans	cool	cute	funny	hot	list	more	note	photos	plain	profile	writer	uv_cool	uv_funny	uv_useful	average_rate
86XHElUa9J3SduW1AO-s4A	Christina	35	2007-12-01	1	2	NA	NA	NA	NA	1	2	NA	NA	NA	2	18	12	59	high
LucUEJpcY6_r1N9VZEUSIg	Kelly	7	2014-04-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	high
TdPDImmAXLOjJxJbjObOcg	Michael	38	2013-10-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	2	48	high
PDIiIXenoV7P2vGBOkd2QA	Nicolas	14	2011-01-01	2	2	NA	3	NA	NA	NA	1	NA	1	NA	NA	17	17	17	high
edPP8Ybe4gq9vxwhI7GEcQ	Ben	9	2010-07-01	1	4	NA	4	2	NA	1	9	NA	NA	NA	3	9	3	19	high
lPB59Duh9SolRida6_GGsg	Brian	1	2013-05-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3	high
Nxm_abWdGVyH6CGwuH0Eqg	Amra	1	2011-08-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
MR0N19L6C1MbUNuuJkxZeQ	Amanda	9	2012-02-01	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	9	high
aYzA3OgsAN3f3WJPucYCAQ	Tom	53	2012-11-01	0	NA	NA	NA	1	NA	NA	2	NA	NA	NA	NA	6	6	15	high
gkCVBbwEgnNfpCgUQMrj6A	Fantasia	14	2010-09-01	0	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	7	2	17	high
D3QHTgqD22bpX2rN0-0yKw	Ashley	1	2013-10-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	2	high
kpOE_x9EgghL6MzRueDRrw	Laurel	16	2011-04-01	0	1	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	6	5	20	high
gNusP9Wi9fjboevuG4Yo7w	Anne	11	2012-07-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	7	high
l3Ldbo1A3oHFRsBBinTWnw	nancy	16	2009-03-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	9	high
61HRMKC0sxwrpw_OUltiGg	Lara	134	2010-04-01	13	32	2	12	29	2	2	12	3	41	1	13	233	128	330	high
NqoaK7KuK20O8t5nLLgPLg	April	181	2012-03-01	4	8	1	1	4	NA	1	1	1	2	NA	2	78	33	144	high
HslReRAnURM1qrOTT0kZ5w	Josh	38	2007-03-01	0	3	NA	1	NA	NA	1	1	NA	3	NA	NA	38	36	97	high
hwkTaP01baTDvN9iA7MD1g	Courtney	4	2011-06-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	high
_bRsm8AkkzWV2uDYAYoYNg	Daisy	9	2014-03-01	0	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	4	5	7	high
tLUxonIuH93f-LSjvxsAFA	Laurie	3	2014-04-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
wtetKGea0cE6J4iE6GK5Vw	Meredith	469	2009-09-01	57	91	4	34	74	6	13	48	14	64	7	33	469	430	818	high
RwOh7uOb1RIB_7S0Y1uP4w	Chris	113	2012-02-01	1	8	NA	NA	3	NA	1	7	NA	NA	NA	2	21	16	45	high
WTbKjTqavtyMhcCjkr5AXw	Chris	21	2013-05-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	2	12	high
0ITeEVohWHMtJooJVEAVGg	Alison	132	2008-01-01	4	8	NA	2	7	1	3	3	NA	5	2	3	94	48	179	high
M67pECGniaCn8_4WEWG37Q	Tom	50	2009-01-01	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	8	5	28	high
HAPeOwz8g3D8LNwPDf0aVA	Samantha	51	2012-09-01	2	2	NA	4	7	NA	1	2	1	NA	1	4	27	41	80	high
FTmZJKwDbw-er52-fTPrUA	Toby	108	2007-05-01	2	1	NA	NA	NA	NA	1	1	NA	NA	NA	2	18	10	33	high
9Z05mtXrXJ-22PElwp1ahA	Jason	110	2005-12-01	12	105	3	14	79	1	6	29	NA	58	1	12	399	253	513	high
DDad5K6GNA0sXB7N1OB6wg	Sheetal	85	2009-12-01	3	1	NA	2	1	NA	NA	1	NA	3	NA	NA	42	38	101	high
ngyzUHegpUy9T4_522B2nw	Kush	6	2014-03-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
LaGNXX2DJAhK68euSuigbA	Winston	4	2012-03-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	3	high
Q-e5Kriu18oFX5orJkoNhA	Amy	75	2009-01-01	5	12	1	NA	11	1	1	8	NA	9	NA	NA	103	63	180	high
dWB8lxnALBA0MBhocIfQGA	Michael	25	2011-10-01	1	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	16	11	36	high
TREwiJ1xaUPpklahXjsYMQ	Emily	17	2010-02-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	4	23	high
adlNarh8mwX8NRwZf45_eQ	Mary	6	2010-01-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	high
PywqqtJW3Om6HvFM1fLvew	Ariella	24	2013-08-01	0	NA	NA	1	3	NA	NA	NA	1	1	NA	NA	6	13	25	high
HJn6FCBQnmGGccEsRoOHpg	Maria	14	2012-10-01	0	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	5	0	6	high
lCD3wyHthsYFlP52Hll-QA	Jenny	172	2008-04-01	7	67	2	10	28	2	7	28	7	22	NA	11	309	175	496	high
cprrdOVWlDZU9iMCTMtKbQ	Jason	34	2009-10-01	1	6	NA	NA	1	NA	1	2	NA	4	1	7	41	29	95	high
ASKX2P9GAUmz7_RRuLm4_Q	Darin	12	2013-10-01	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	7	high
rTAevZ8Fl45rERFDuisKww	Nicole	2	2012-06-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	6	high
J5FxDAQ-Nec9QVm8IF1D7A	Danielle	10	2009-01-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	9	high
gRfN3bzvGywek2cRjbQ0TQ	Lynn	46	2012-07-01	0	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	5	8	12	high
eL9zF9XtQMdddfd7GmFbtA	Erin	2	2012-07-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	4	high
3jcTvQKoqigf8HjVS5625w	Demetrius	3	2011-12-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	0	8	high
7QoVSUFs0Me_wVjZV1C9lQ	Juju	60	2010-05-01	5	3	1	1	8	NA	NA	1	NA	2	NA	NA	42	47	57	high
XB8X3JKEa458NM4vQ9RwMg	Aria	1	2014-01-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
Se1AMR9v_hWsAmM8utOkwg	Taylor	4	2010-10-01	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	high
iLEwkdjDMho7xv9bgQq13w	Momo	204	2008-04-01	6	17	4	1	7	1	4	9	1	14	NA	6	219	140	363	high
M1yfwtBL6MrYiLE_ddMZQg	Sammy	1	2014-01-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	high
J-Y45xygkloOamuOlOwdrg	Steve	1	2013-11-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	high
2q_SRCDwwY8LOv76iFZb0g	Eddie	55	2009-05-01	0	1	NA	NA	NA	NA	1	2	NA	NA	NA	NA	3	1	20	high
WsPgO3ycZjRp7wFh18JdMQ	Nicole	468	2005-03-01	224	1100	201	493	1311	29	64	236	53	626	35	176	6511	5388	6502	high
j12mTLp5SqLpGrRy26Pqqw	Jill	13	2011-04-01	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	9	5	19	high
jR_zE_9TEcY4_vrTeKNXlA	Callie	100	2010-03-01	1	2	NA	NA	13	NA	1	3	NA	9	NA	7	65	48	133	high
IOBOiXUAfyAYDqz3F4uSaw	Julie	19	2012-06-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	12	high
0EHQ5Tew4ppuUSSL4zND3g	K	9	2012-01-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	8	high
zfLNfCXeloQxoZ-dgA2pqw	Bob	16	2012-06-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	8	high
GRXItjSQad3PRq7J65aizA	Erin	53	2013-06-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3	8	high
r7V9Nhes-Eg-lH0cqfpFFw	Todd	170	2007-11-01	7	20	NA	15	8	NA	1	7	4	13	1	3	165	161	241	high
5Zo53qhgwoDcndwLQtfW8Q	Kristi	1	2013-08-01	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
TiT7hBkazxXKLVFT42uBbQ	Derek	25	2011-04-01	0	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	7	5	16	high
6yMvz-hWAWVZbvzdcEXiQg	Key	47	2008-02-01	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	15	14	63	high
BHLS6oIl2Smlzf6syWkZSQ	Guy	1	2013-05-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
lyyS0abxOGtkJ2po3B3BNQ	Daphne	61	2011-04-01	2	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	15	10	65	high
f7WD4UQSrSHwkTA-Ly28FA	Alex	36	2010-01-01	0	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	9	0	16	high
iPh_cpXcsif7F5cU8s1bqg	sarah	3	2011-04-01	2	1	NA	1	NA	NA	1	1	NA	NA	NA	1	1	1	2	high
Rw6oRXlV9GX4n_YURc8f4Q	Ross	15	2012-03-01	1	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	6	3	7	high
8eQtyMJ7g-zTXnHIyUycZA	Kristine	10	2008-11-01	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0	1	4	high
zWlV1T4YAOUzmnLc2yP9ew	Jennifer	45	2011-06-01	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	4	4	15	high
GWyXXqszbP8WiJDsPwKnlQ	Pippi	296	2006-03-01	11	35	4	4	12	8	4	6	1	13	1	NA	279	138	403	high
QhLp-40J2Db_CFsLl44Wgw	Joshua	1	2014-01-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
l2j9ReKT7BNBpyJI4WwS_w	Ming	72	2009-09-01	1	4	1	NA	NA	NA	NA	NA	4	3	NA	NA	12	24	53	high
fdD-3xvA8sCAdZxTaFlRXw	Leroy	2	2013-06-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	4	high
itv4pB3tbT7eMuVrFU65Tg	Jane	140	2005-07-01	0	NA	NA	NA	2	2	NA	NA	NA	3	NA	2	22	12	58	high
wKe3QUUWvZtAFDcBvTvrnA	C	5	2013-05-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	3	high
6wLZTaa7ZQzxPRllzuzLJw	Garth	119	2011-03-01	6	6	1	4	5	NA	4	2	NA	3	1	4	57	54	116	high
U1MZ0uCFc9X4ONk3RzwuAg	Belinda	1	2014-01-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
d0K4G6LZ4lw1NNx_V8xDIg	Christine	30	2010-03-01	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3	19	high
LhoFewTGC9ooaJiSY18OMQ	Connie	197	2008-07-01	5	12	1	2	5	NA	3	5	4	8	1	4	112	92	268	high
13XWdeB15eJtOnvCOYKabw	Katherine	11	2012-03-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7	1	10	high
fqQ43W4f3GWEypXmc5FcOg	Joni	16	2009-08-01	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	12	high
9_ACsBy6NmWRtbvuw-mLmw	Natalie	33	2010-04-01	0	16	1	5	9	NA	1	1	NA	12	1	5	39	22	49	high
QmhRZslHdBUEoUcCWMKfOw	Claudia	7	2012-03-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	5	high
j5lkQb6MjTWijcIqdGmykQ	Drew	7	2010-07-01	0	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	5	1	8	high
Wu-fNT4hxlZRR2Kgew3Giw	Andy	25	2010-03-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	10	high
Kv3cXS8jUZ5s9paxOm9jiw	Mailnet	17	2012-06-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	5	high
nAIGpQ6nz3im1oHE28BX1w	Peter	191	2007-04-01	6	26	1	9	8	NA	3	6	NA	8	NA	5	276	205	317	high
IJ3m1dLcXv_NjDlXQ5J8Iw	James	87	2010-01-01	0	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2	25	25	99	high
DbIC4EP7wHaDZUNdsZWBbw	Amy	4	2011-12-01	2	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	5	0	8	high
t_-zY4tStYR2XEvBoErTIg	Heidi	3	2013-12-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
dO9Pf-g1xWJMrPnp3fDtHQ	Meryl	3	2011-12-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2	high
Br9o4CNzhwUw4YUHseGA-g	Chef	205	2011-08-01	5	10	NA	1	3	NA	NA	5	NA	6	NA	2	47	31	122	high
THneaiQiebI4v3vq34h3dw	james	4	2011-06-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	4	high
f99mfThnEN3NFuYnQmUVcA	patty	56	2009-04-01	2	1	NA	NA	NA	NA	NA	NA	NA	2	NA	1	9	3	16	high
PRNbOkVSIorLHF3RNsd-2Q	Lyndsey	12	2009-11-01	0	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	5	2	13	high
_MLmE3ArnzkXqESM3YCbdA	Johnny	9	2013-06-01	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	3	1	4	high
43dfCOlnfBnPsXGLbNd3Xg	Chris	1	2013-02-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	4	high
DJ9DfRLbDBCQ_GJX_tugIQ	Roy	41	2010-07-01	0	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	11	21	43	high
_16aYVe0D-MogKeB4RR0sg	Eduardo	66	2010-01-01	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	3	8	12	high
3Ss2aqrSoO7WbxE2GcLlfQ	Joanne	134	2011-02-01	5	15	1	1	11	NA	2	5	3	10	NA	4	206	63	335	high
0Za30PbCY8xNqV6FI3RWag	Jeff	30	2013-02-01	0	1	NA	1	2	NA	NA	1	NA	1	NA	NA	0	1	6	high
1cZHyRrbNbUhsmm6BdzELA	Derrek	138	2008-02-01	5	12	NA	1	11	NA	3	7	NA	12	NA	5	152	157	278	high
mIvSJ8FJXI1v9X64K0wzwg	Elizabeth	68	2010-02-01	13	71	13	39	62	1	9	68	22	126	4	14	164	120	196	high
2sP5kVRX9HfqK2oiiFYJew	Betty	52	2008-06-01	9	17	12	6	28	NA	5	8	10	6	1	23	158	144	190	high
obe51qF4J-qK5xb8SEPqvQ	Karen	3	2011-05-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
xfEYvPjYPvmnUZMqveO-nw	Marc	11	2013-11-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	high
ybik_17I-UUPQPVeC32uEg	Jen	105	2010-07-01	1	6	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	8	5	28	high
E679YrWlyTpvkOBDhAssIg	Dani	25	2009-07-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	11	14	high
7yN0N3S4ODEOdoFs19nVKQ	Good	10	2012-06-01	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	1	10	high
yR5kinScZ_HhLCii4BQ35A	Dinorah	64	2010-08-01	6	3	NA	2	3	NA	2	3	1	2	NA	4	28	10	65	high
Y8WujtKJiMiBmL6P37bTWw	Sabrina	1	2011-04-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
V-ixKMzLSMxDzdEJ9TF2Ew	Michele	4	2011-03-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	6	high
w4dgIzMwwZvKsHaC47Ox3A	ARMANDO	59	2009-08-01	5	12	NA	4	6	NA	2	13	1	5	NA	5	46	36	96	high
MK-EScC1QNysVmb5XESqzQ	Melissa	21	2012-04-01	0	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	16	8	38	high
RijMQ40JEHFh94S3K4msBQ	Erik	1	2011-11-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
HV47ZmfT8o3rVoKcufwRnQ	Nicole	5	2011-06-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	7	high
ZoPUik9bOCA-AXXqAnXyRQ	Maureen	449	2008-08-01	18	19	3	5	8	1	8	3	1	15	NA	12	328	231	641	high
zjLikecni9dhh-8vWh0rnQ	Mike	29	2009-08-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	0	22	high
Lq19EfZtOB0lRWH39saEyg	Clark	208	2008-09-01	9	28	2	13	12	3	2	16	7	27	3	6	186	183	319	high
YSh_B-1pEK329lUKgNCUig	Scott	2	2011-03-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
dINoNY-20S8FlMj03o-ptQ	Yippy	151	2010-12-01	4	3	1	1	3	NA	NA	NA	NA	2	NA	1	53	43	225	high
ODHvAtaPFMi4FyaSTI8CGw	Jade	1	2013-10-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	high
WU0ZCEykqoKHyads1E40sw	Riz Joseph	2	2012-04-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	2	high
46TfIzqgBYaA1s3nfWZG9Q	Morgan	1	2014-04-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	high
YSFOl8DADlsKK8TQNsgbJQ	Robert	14	2009-12-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	5	high
Pllc3jWFmwvkPcPYHTQs-g	Byron	24	2010-10-01	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	14	9	42	high
NjcyUo7zShTYnrUI1N4HLQ	Kelsey	18	2012-06-01	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	3	16	high
jVHoxkXF64_Q7i1QDTwfUA	Robin	42	2008-08-01	1	4	NA	NA	NA	NA	2	NA	1	NA	NA	4	16	11	46	high
DOtQTggDX3ntGiHO-QIsnA	edward	6	2008-12-01	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	3	high
ckpR2E9BDIU_bsG4bY8F8Q	Dawn	26	2009-11-01	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	8	3	13	high
9SKoJSKAwnQCUyupYDSXhw	Joy	2	2011-11-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	high
0kR-7Lz6JVrE1WgoTkRyrA	William	8	2013-03-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	3	high
JzPgQMOsJhg5zAqYmwN17Q	Jon	12	2010-03-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	7	high
AF1xoSV-ZPwJ92CPQkTwdA	Clay	95	2012-03-01	1	7	NA	2	1	NA	NA	2	NA	2	NA	NA	26	24	56	high
FWqA5tpXnV19GzlZDlPxfQ	Elizabeth	24	2010-12-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	10	4	29	high
uvGgTfRzRaEYbEFIoEiF9g	Andy	11	2011-07-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	9	high
qLzeppJDB98ndF0C5Jfubw	Lily	10	2013-02-01	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	2	high
qGq146gZLRjBM0dYm92j0Q	Milla	1	2013-05-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	high
gkuMOImi2FrHGKwvjcxR9A	Hootie	36	2011-08-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	4	34	high
JlCHV_KkGjdXRpK34w49Dg	Ha	55	2008-06-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	4	10	high
4Gjrgg9Sq_mXO7aZq2JobQ	Sandy	5	2013-12-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	high
xILtLiNFntJ68NZ0YcGM0w	Shannen	19	2013-11-01	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	7	4	26	high
N64FvGq6E6spXZTy0OlMVQ	Maria	86	2012-06-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	3	39	high
tJmC5cM1W9vDwC9AggLXuA	ND	3	2013-07-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	high
WnQHE8TD1m4P9LpjLm9oOw	Mike	36	2009-09-01	1	1	NA	1	NA	NA	NA	NA	NA	2	NA	NA	27	36	122	high
lkV_WCqCbpA5gUIHD6wtOw	Tammy	36	2008-10-01	19	2	NA	NA	NA	NA	1	3	NA	1	NA	1	48	24	60	high
ZusYHxnRmXa5g8z9rPLFMg	Peter	13	2008-08-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3	10	high
fB23WZYdsMmMqRYpx8n6wQ	Ashley	3	2013-10-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	high
dlW-2n1W1i86ihqF3-0cVw	J	4	2011-02-01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	high
9FDMUyJStI86B07bKQleow	Shirley	319	2010-10-01	33	570	11	168	342	7	20	179	75	644	15	150	1458	796	2036	high
az6wRrL5Z7s_WjUkFnh92Q	Emily	70	2007-07-01	7	12	3	9	9	NA	NA	5	NA	18	NA	NA	72	51	120	high
UzY2tNrpieVzNYbQKB3Qqg	Lia	260	2011-02-01	17	12	NA	4	14	2	2	5	NA	18	NA	14	142	111	547	high
w6shEHxRqk858htCtP5oAQ	Kassandra Claire	3	2010-12-01	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	0	2	high
PEPncYMhxc8YCsqfoFBohg	Hetty	69	2008-09-01	3	1	1	2	3	NA	2	3	NA	2	1	NA	22	23	30	high
