x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,y
2.0,2.5,2.0,3.0,2.0,19.3,8.0,10.0,13.0,6.2,7.0,9.0,4.0,5.0,12.0,3.0,2.38,3.0,8.0,16.0,8.0,23.0,307.12,74.65,18.95,2.33,2.0,2.0,2.0,4.0,teamEdward
2.0,2.6,2.0,3.0,2.0,19.03,8.0,10.0,11.0,6.0,8.0,10.0,4.0,5.0,10.0,3.0,2.38,2.0,7.0,13.0,7.0,21.0,274.46,70.11,17.14,2.33,2.0,2.0,2.0,5.0,teamEdward
2.0,2.09,14.0,15.0,27.53,33.11,14.0,64.0,21.0,25.57,16.0,57.0,3.0,5.0,20.0,3.0,2.05,2.0,37.0,103.0,37.0,158.0,17286.19,735.27,962.23,2.33,6.0,4.0,6.0,3.0,teamEdward
5.0,2.2,25.0,18.0,51.06,25.05,22.0,73.0,24.0,34.11,21.0,63.0,2.0,8.0,20.0,3.0,2.08,2.0,29.0,81.0,32.0,142.0,23758.49,741.96,1321.81,2.17,12.0,4.0,12.0,3.0,teamEdward
2.0,2.25,2.0,5.0,2.0,13.23,6.0,11.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,2.11,2.0,6.0,7.0,6.0,10.0,46.92,24.46,4.5,3.0,2.0,2.0,2.0,3.0,teamEdward
7.0,2.22,23.0,41.0,61.09,29.16,19.0,86.0,21.0,19.0,20.0,38.0,4.0,7.0,18.0,3.0,2.06,2.0,20.0,56.0,25.0,92.0,7849.8,463.64,437.99,2.2,10.0,4.0,10.0,4.0,teamEdward
2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,teamEdward
3.0,2.08,21.0,24.0,48.51,26.41,12.0,69.0,15.0,19.27,13.0,40.0,7.0,4.0,15.0,3.0,2.03,2.0,25.0,60.0,26.0,98.0,7285.26,423.66,406.63,2.5,4.0,4.0,4.0,4.0,teamEdward
6.0,2.12,8.0,14.0,27.64,54.95,19.0,55.0,19.0,19.71,26.0,52.0,6.0,6.0,17.0,5.0,2.08,3.0,31.0,127.0,35.0,177.0,16604.83,939.57,924.38,2.75,7.0,4.0,6.0,5.0,teamEdward
17.0,2.15,2.0,30.0,14.0,74.82,32.0,157.0,71.0,39.62,63.0,155.0,15.0,21.0,54.0,7.0,2.12,2.0,112.0,270.0,127.0,423.0,103080.67,2741.78,5728.59,2.26,12.0,4.0,10.0,16.0,teamEdward
2.0,2.5,2.0,3.0,2.0,19.34,13.0,15.0,13.0,10.25,8.0,11.0,4.0,5.0,12.0,3.0,2.23,2.0,8.0,28.0,8.0,37.0,1182.25,145.06,67.57,2.33,2.0,2.0,2.0,4.0,teamEdward
2.0,2.43,2.0,3.0,2.0,13.62,11.0,11.0,12.0,11.75,8.0,15.0,3.0,5.0,11.0,3.0,2.33,3.0,9.0,18.0,9.0,31.0,1106.67,115.3,63.37,2.33,2.0,2.0,2.0,3.0,teamEdward
2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.13,6.0,9.0,16.810000000000002,30.18,12.0,38.0,15.0,23.82,13.0,50.0,2.0,5.0,14.0,3.0,2.08,2.0,25.0,94.0,25.0,142.0,13418.53,616.92,747.36,2.33,6.0,4.0,6.0,3.0,teamEdward
3.0,2.6,2.0,3.0,12.0,14.07,15.0,15.0,20.0,16.08,8.0,15.0,4.0,8.0,16.0,7.0,2.46,3.0,11.0,29.0,12.0,42.0,2395.0,171.92,134.94,2.83,10.0,4.0,8.0,6.0,teamEdward
2.0,2.08,20.0,13.0,62.0,63.38,8.0,45.0,13.0,5.63,21.0,25.0,9.0,3.0,14.0,3.0,2.02,2.0,14.0,27.0,14.0,50.0,811.5,224.91,46.97,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.16,5.0,10.0,15.64,20.18,15.0,34.0,15.0,22.68,13.0,37.0,3.0,5.0,14.0,3.0,2.09,2.0,21.0,49.0,21.0,84.0,7777.68,377.97,433.98,2.33,6.0,4.0,6.0,4.0,teamEdward
3.0,2.29,2.0,3.0,16.29,18.37,12.0,12.0,9.0,8.870000000000001,10.0,13.0,4.0,4.0,9.0,3.0,2.2,2.0,8.0,18.0,9.0,29.0,776.04,114.59,45.0,2.5,2.0,2.0,2.0,4.0,teamEdward
4.0,2.08,6.0,12.0,16.630000000000003,54.91,18.0,55.0,23.0,20.67,29.0,65.0,12.0,5.0,22.0,3.0,2.06,3.0,37.0,121.0,39.0,184.0,18436.83,989.58,1026.16,2.33,6.0,4.0,6.0,4.0,teamEdward
4.0,2.01,12.0,19.0,13.32,43.9,28.0,127.0,60.0,41.36,38.0,111.0,8.0,3.0,48.0,3.0,2.01,2.0,96.0,170.0,98.0,279.0,64920.77,1651.31,3608.6,3.0,18.0,4.0,18.0,3.0,teamEdward
2.0,2.31,8.0,7.0,33.58,16.41,14.0,28.0,12.0,12.5,10.0,16.0,2.0,6.0,10.0,6.0,2.15,3.0,15.0,23.0,15.0,37.0,1590.31,153.27,90.24,3.0,7.0,4.0,6.0,3.0,teamEdward
3.0,2.25,2.0,4.0,14.5,11.09,13.0,14.0,8.0,13.0,7.0,12.0,2.0,4.0,8.0,3.0,2.17,4.0,9.0,17.0,10.0,27.0,1102.0,102.0,63.11,2.5,4.0,4.0,4.0,3.0,teamEdward
2.0,3.0,2.0,2.0,2.0,2.0,2.0,11.0,6.0,2.0,2.0,2.0,5.0,3.0,7.0,3.0,2.11,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,teamEdward
3.0,2.2,21.0,13.0,85.33,10.64,7.0,38.0,3.0,6.17,5.0,7.0,2.0,3.0,4.0,3.0,2.03,3.0,6.0,9.0,7.0,14.0,152.0,38.0,10.33,3.0,2.0,2.0,2.0,3.0,teamEdward
3.0,2.17,3.0,4.0,12.53,17.990000000000002,16.0,25.0,10.0,14.44,11.0,18.0,3.0,5.0,9.0,5.0,2.13,3.0,19.0,30.0,20.0,46.0,2478.9,201.04,139.61,3.0,5.0,5.0,4.0,4.0,teamEdward
3.0,2.29,5.0,4.0,42.0,11.34,10.0,16.0,8.0,8.67,5.0,7.0,2.0,4.0,8.0,3.0,2.14,2.0,8.0,15.0,9.0,20.0,417.13,64.27000000000001,25.06,2.5,4.0,4.0,4.0,3.0,teamEdward
2.0,2.33,21.0,9.0,88.36,11.05,6.0,32.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,2.03,4.0,5.0,7.0,5.0,9.0,38.19,20.09,4.0,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.26,2.0,3.0,2.0,22.3,15.0,27.0,27.0,24.0,15.0,46.0,3.0,8.0,23.0,7.0,2.24,6.0,25.0,53.0,25.0,97.0,9825.92,448.54,547.77,2.83,2.0,2.0,2.0,4.0,teamEdward
4.0,2.15,6.0,15.0,15.64,29.09,28.0,61.0,19.0,34.81,23.0,55.0,4.0,8.0,15.0,3.0,2.1,3.0,40.0,109.0,42.0,162.0,29160.95,890.73,1621.94,2.17,2.0,2.0,2.0,4.0,teamEdward
3.0,2.5,2.0,2.0,52.0,7.33,5.0,7.0,4.0,3.5,3.0,3.0,3.0,3.0,5.0,3.0,2.2,2.0,3.0,5.0,4.0,6.0,14.0,10.0,2.67,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.18,30.0,8.0,73.79,20.78,14.0,49.0,7.0,15.33,11.0,22.0,2.0,4.0,7.0,3.0,2.04,3.0,13.0,39.0,13.0,59.0,3340.16,252.36,187.45,2.5,2.0,2.0,2.0,3.0,teamEdward
2.0,2.73,2.0,5.0,2.0,27.72,23.0,33.0,64.0,50.63,21.0,90.0,5.0,21.0,47.0,19.0,2.61,4.0,28.0,149.0,28.0,237.0,60823.24,1252.65,3380.96,2.89,2.0,2.0,2.0,5.0,teamEdward
2.0,2.4,2.0,2.0,2.0,8.18,7.0,10.0,8.0,7.0,4.0,6.0,2.0,4.0,8.0,3.0,2.25,4.0,7.0,9.0,7.0,13.0,156.4,32.879999999999995,10.58,2.5,4.0,4.0,4.0,3.0,teamEdward
2.0,2.05,2.0,3.0,2.0,12.42,7.0,24.0,3.0,47.0,4.0,38.0,2.0,3.0,4.0,3.0,2.05,4.0,21.0,133.0,21.0,169.0,21099.27,470.83,1174.07,3.0,2.0,2.0,2.0,3.0,teamEdward
7.0,2.36,8.0,13.0,30.21,20.52,21.0,56.0,50.0,91.3,17.0,143.0,5.0,14.0,40.0,14.0,2.22,6.0,30.0,186.0,35.0,327.0,147652.89,1655.43,8204.83,3.0,20.0,4.0,16.0,8.0,teamEdward
5.0,2.18,8.0,9.0,34.14,33.769999999999996,17.0,39.0,23.0,13.63,22.0,33.0,8.0,6.0,21.0,3.0,2.11,3.0,21.0,43.0,24.0,74.0,4295.21,371.31,240.51,2.25,8.0,4.0,8.0,6.0,teamEdward
2.0,2.21,4.0,9.0,11.52,24.54,13.0,32.0,12.0,11.78,11.0,18.0,2.0,6.0,10.0,3.0,2.13,4.0,21.0,37.0,21.0,53.0,2157.2,222.42,121.73,2.25,2.0,2.0,2.0,3.0,teamEdward
2.0,2.4,10.0,10.0,63.54,18.18,11.0,24.0,7.0,8.43,9.0,12.0,2.0,4.0,7.0,3.0,2.09,2.0,7.0,18.0,7.0,28.0,670.57,106.0,39.14,2.5,4.0,4.0,4.0,3.0,teamEdward
2.0,3.0,2.0,2.0,2.0,8.2,7.0,3.0,3.0,4.5,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,7.0,2.0,8.0,40.77,17.509999999999998,4.15,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.5,2.0,3.0,2.0,24.66,13.0,21.0,28.0,16.439999999999998,10.0,23.0,6.0,8.0,24.0,3.0,2.32,2.0,14.0,58.0,14.0,79.0,4724.37,329.09,264.35,2.17,2.0,2.0,2.0,7.0,teamEdward
2.0,2.12,4.0,9.0,12.53,24.93,14.0,33.0,10.0,11.27,13.0,19.0,5.0,4.0,10.0,3.0,2.06,6.0,19.0,32.0,19.0,49.0,1973.45,214.61,111.53,2.5,4.0,4.0,4.0,4.0,teamEdward
2.0,2.25,11.0,7.0,71.23,20.49,9.0,22.0,5.0,5.5,9.0,9.0,4.0,3.0,6.0,3.0,2.05,2.0,6.0,12.0,6.0,19.0,228.54,66.73,14.59,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.22,2.0,6.0,2.0,18.18,11.0,18.0,8.0,8.43,9.0,12.0,4.0,4.0,8.0,3.0,2.13,3.0,11.0,18.0,11.0,28.0,670.57,106.0,39.14,2.5,4.0,4.0,4.0,4.0,teamEdward
2.0,2.22,2.0,4.0,2.0,20.21,12.0,15.0,8.0,13.67,11.0,23.0,3.0,4.0,8.0,3.0,2.15,2.0,11.0,31.0,11.0,52.0,2479.96,214.4,139.66,2.5,4.0,4.0,4.0,3.0,teamEdward
2.0,2.5,2.0,2.0,2.0,7.33,5.0,6.0,4.0,3.5,3.0,3.0,3.0,3.0,5.0,3.0,2.25,2.0,4.0,5.0,4.0,6.0,14.0,10.0,2.67,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.2,2.0,2.0,2.0,15.32,9.0,9.0,4.0,5.5,7.0,7.0,3.0,3.0,5.0,3.0,2.14,2.0,7.0,10.0,7.0,15.0,165.12,48.6,11.06,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.4,2.0,3.0,2.0,17.23,9.0,10.0,8.0,7.0,9.0,12.0,2.0,4.0,8.0,3.0,2.25,2.0,7.0,12.0,7.0,22.0,382.74,78.15,23.15,2.5,4.0,4.0,4.0,3.0,teamEdward
2.0,2.27,6.0,6.0,28.67,18.48,13.0,23.0,11.0,10.25,10.0,14.0,3.0,5.0,10.0,5.0,2.14,2.0,13.0,22.0,13.0,34.0,1123.45,137.93,64.3,3.0,2.0,2.0,2.0,3.0,teamEdward
3.0,2.45,2.0,6.0,5.45,44.71,14.0,41.0,63.0,23.6,17.0,56.0,9.0,15.0,52.0,3.0,2.33,2.0,30.0,142.0,31.0,196.0,19926.88,924.45,1108.94,2.08,2.0,2.0,2.0,14.0,teamEdward
3.0,2.5,3.0,2.0,68.67,14.85,9.0,7.0,4.0,5.5,6.0,6.0,3.0,3.0,5.0,3.0,2.2,2.0,3.0,11.0,4.0,15.0,159.4,46.97,10.74,3.0,2.0,2.0,2.0,3.0,teamEdward
4.0,2.07,17.0,9.0,60.62,40.33,9.0,40.0,7.0,7.54,14.0,21.0,6.0,3.0,8.0,3.0,2.03,2.0,14.0,33.0,16.0,52.0,1179.03,214.4,67.39,3.0,2.0,2.0,2.0,3.0,teamEdward
6.0,2.14,38.0,77.0,95.02,35.3,6.0,629.0,6.0,4.0,11.0,11.0,5.0,3.0,7.0,3.0,2.0,4.0,5.0,11.0,9.0,20.0,135.22,68.61,9.4,3.0,2.0,2.0,2.0,3.0,teamEdward
10.0,2.16,13.0,19.0,30.79,88.67,22.0,87.0,50.0,29.58,64.0,173.0,8.0,11.0,43.0,3.0,2.11,3.0,49.0,207.0,57.0,378.0,65931.86,2392.44,3664.77,2.11,18.0,4.0,18.0,8.0,teamEdward
2.0,2.14,3.0,7.0,14.5,20.52,11.0,17.0,4.0,8.75,8.0,11.0,3.0,3.0,5.0,3.0,2.07,3.0,9.0,25.0,9.0,34.0,845.89,127.02,48.88,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.29,2.0,4.0,2.0,13.44,12.0,14.0,9.0,12.71,9.0,17.0,3.0,4.0,9.0,3.0,2.17,4.0,9.0,17.0,9.0,32.0,1315.83,124.62,74.99,2.5,4.0,4.0,4.0,3.0,teamEdward
2.0,2.25,3.0,6.0,22.0,25.44,10.0,13.0,3.0,6.0,9.0,9.0,2.0,3.0,4.0,3.0,2.09,3.0,6.0,19.0,6.0,26.0,377.06,95.77,22.84,3.0,2.0,2.0,2.0,3.0,teamEdward
11.0,2.21,32.0,35.0,39.14,31.55,26.0,142.0,67.0,83.12,27.0,171.0,4.0,18.0,53.0,5.0,2.11,2.0,68.0,260.0,77.0,429.0,194485.67,2399.48,10806.65,2.19,29.0,4.0,26.0,6.0,teamEdward
2.0,2.2,6.0,19.0,15.79,28.68,20.0,50.0,18.0,24.5,18.0,42.0,3.0,7.0,15.0,3.0,2.1,3.0,27.0,80.0,27.0,120.0,13509.21,602.32,752.4,2.2,2.0,2.0,2.0,7.0,teamEdward
2.0,2.8,2.0,4.0,2.0,19.92,10.0,12.0,11.0,8.4,7.0,10.0,2.0,6.0,9.0,3.0,2.4,2.0,7.0,25.0,7.0,33.0,736.17,116.71,42.79,2.25,7.0,7.0,4.0,3.0,teamEdward
2.0,2.17,4.0,7.0,16.29,20.02,15.0,23.0,11.0,16.619999999999997,10.0,20.0,5.0,4.0,11.0,3.0,2.1,2.0,14.0,44.0,14.0,62.0,3856.26,265.54,216.13,2.5,4.0,4.0,4.0,4.0,teamEdward
2.0,2.41,2.0,3.0,2.0,31.56,13.0,21.0,26.0,19.53,18.0,53.0,3.0,9.0,21.0,8.0,2.37,5.0,19.0,60.0,19.0,111.0,9088.14,520.28,506.79,2.86,2.0,2.0,2.0,8.0,teamEdward
4.0,2.4699999999999998,2.0,4.0,7.56,25.0,26.0,41.0,70.0,46.18,24.0,83.0,8.0,19.0,55.0,16.0,2.44,3.0,36.0,105.0,38.0,186.0,44905.55,1018.34,2496.64,2.82,2.0,2.0,2.0,9.0,teamEdward
2.0,2.7199999999999998,2.0,3.0,2.0,48.04,33.0,79.0,221.0,90.2,44.0,241.0,9.0,56.0,169.0,27.0,2.7,5.0,77.0,419.0,77.0,658.0,358149.97,4062.52,19899.11,2.46,2.0,2.0,2.0,26.0,teamEdward
2.0,2.11,4.0,8.0,8.67,30.96,15.0,40.0,14.0,15.46,16.0,31.0,3.0,5.0,13.0,3.0,2.08,3.0,30.0,55.0,30.0,84.0,5251.74,391.9,293.65,2.33,6.0,4.0,6.0,3.0,teamEdward
2.0,2.07,8.0,4.0,32.0,43.04,9.0,26.0,12.0,8.42,14.0,24.0,5.0,3.0,13.0,3.0,2.04,2.0,16.0,42.0,16.0,64.0,1691.97,265.37,95.89,3.0,2.0,2.0,2.0,3.0,teamEdward
8.0,2.41,11.0,18.0,12.42,67.73,33.0,163.0,243.0,86.55,68.0,362.0,20.0,58.0,189.0,44.0,2.35,4.0,131.0,484.0,137.0,844.0,469831.8,5559.13,26103.66,2.75,2.0,2.0,2.0,44.0,teamEdward
25.0,2.21,54.0,79.0,58.39,41.18,26.0,220.0,68.0,49.64,35.0,133.0,8.0,19.0,53.0,16.0,2.08,3.0,60.0,191.0,83.0,322.0,88916.45,1868.52,4941.69,2.82,29.0,4.0,24.0,6.0,teamEdward
2.0,2.22,2.0,3.0,2.0,17.43,15.0,14.0,11.0,16.95,12.0,25.0,3.0,4.0,11.0,3.0,2.17,3.0,11.0,30.0,11.0,53.0,3450.99,232.7,193.61,2.5,2.0,2.0,2.0,4.0,teamEdward
4.0,2.13,14.0,24.0,23.21,30.14,22.0,101.0,28.0,28.11,20.0,49.0,5.0,9.0,23.0,3.0,2.07,3.0,54.0,95.0,56.0,142.0,19186.09,736.71,1067.78,2.14,10.0,4.0,10.0,8.0,teamEdward
2.0,3.0,2.0,2.0,2.0,11.51,8.0,3.0,8.0,6.0,5.0,6.0,2.0,4.0,8.0,3.0,4.0,2.0,2.0,10.0,2.0,14.0,154.16,40.04,10.45,2.5,2.0,2.0,2.0,3.0,teamEdward
6.0,2.13,6.0,10.0,44.11,32.010000000000005,18.0,31.0,10.0,13.76,19.0,27.0,5.0,4.0,10.0,3.0,2.07,3.0,13.0,47.0,17.0,72.0,4156.21,355.11,232.79,2.5,4.0,4.0,4.0,3.0,teamEdward
2.0,2.5,2.0,3.0,2.0,20.13,12.0,15.0,13.0,9.5,8.0,11.0,4.0,5.0,12.0,3.0,2.23,2.0,8.0,27.0,8.0,36.0,1022.0,138.0,58.67,2.33,2.0,2.0,2.0,4.0,teamEdward
2.0,2.19,2.0,3.0,2.0,20.11,15.0,21.0,10.0,12.83,11.0,17.0,3.0,5.0,9.0,5.0,2.16,3.0,18.0,31.0,18.0,46.0,2127.66,198.21,120.09,3.0,5.0,5.0,4.0,4.0,teamEdward
8.0,2.2,23.0,13.0,77.0,19.97,13.0,53.0,12.0,17.130000000000003,10.0,24.0,2.0,5.0,11.0,3.0,2.06,5.0,11.0,44.0,17.0,66.0,4113.99,273.87,230.44,2.33,6.0,4.0,6.0,3.0,teamEdward
2.0,3.0,2.0,2.0,2.0,2.0,2.0,13.0,9.0,2.0,2.0,2.0,4.0,4.0,9.0,3.0,2.18,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0,2.0,2.0,4.0,teamEdward
5.0,2.2,2.0,4.0,62.0,15.96,10.0,11.0,5.0,8.0,8.0,11.0,4.0,3.0,6.0,3.0,2.11,3.0,4.0,15.0,7.0,24.0,504.57,85.76,29.92,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.33,2.0,5.0,2.0,10.15,9.0,10.0,4.0,5.5,4.0,4.0,3.0,3.0,5.0,3.0,2.13,2.0,5.0,9.0,5.0,11.0,101.85,30.53,7.55,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.13,2.0,6.0,2.0,20.58,8.0,16.0,3.0,13.0,8.0,24.0,2.0,3.0,4.0,3.0,2.07,3.0,10.0,37.0,10.0,59.0,2249.77,206.34,126.88,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.29,2.0,4.0,2.0,13.63,11.0,12.0,7.0,9.2,7.0,10.0,2.0,4.0,7.0,3.0,2.2,2.0,9.0,16.0,9.0,24.0,605.09,85.76,35.5,2.5,2.0,2.0,2.0,3.0,teamEdward
2.0,2.5,2.0,3.0,2.0,7.8,6.0,7.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,2.2,2.0,4.0,6.0,4.0,7.0,25.22,13.61,3.29,3.0,2.0,2.0,2.0,3.0,teamEdward
4.0,2.29,2.0,2.0,30.57,14.44,11.0,13.0,8.0,11.0,9.0,16.0,2.0,4.0,8.0,3.0,2.18,5.0,7.0,16.0,9.0,30.0,1010.0,114.0,58.0,2.5,4.0,4.0,4.0,3.0,teamEdward
2.0,2.5,2.0,2.0,2.0,12.75,10.0,8.0,7.0,6.0,6.0,6.0,2.0,4.0,7.0,3.0,2.33,5.0,6.0,10.0,6.0,14.0,174.08,45.02,11.56,2.5,4.0,4.0,4.0,3.0,teamEdward
2.0,2.25,2.0,4.0,2.0,18.55,16.0,18.0,15.0,22.22,11.0,28.0,3.0,5.0,14.0,3.0,2.19,2.0,14.0,50.0,14.0,76.0,6771.26,336.74,378.07,2.33,6.0,4.0,6.0,3.0,teamEdward
2.0,2.5,2.0,3.0,2.0,15.09,16.0,13.0,15.0,17.560000000000002,11.0,22.0,3.0,6.0,13.0,5.0,2.36,3.0,10.0,27.0,10.0,47.0,3168.49,205.56,177.92,2.75,2.0,2.0,2.0,4.0,teamEdward
2.0,2.37,2.0,3.0,2.0,28.05,20.0,23.0,30.0,20.0,21.0,40.0,7.0,9.0,25.0,9.0,2.33,3.0,21.0,54.0,21.0,92.0,8441.31,470.85,470.85,3.0,2.0,2.0,2.0,6.0,teamEdward
2.0,2.5,2.0,2.0,2.0,10.15,9.0,7.0,3.0,5.5,4.0,4.0,2.0,3.0,4.0,3.0,2.2,2.0,4.0,9.0,4.0,11.0,101.85,30.53,7.55,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.07,4.0,10.0,8.67,47.76,15.0,42.0,8.0,24.9,23.0,76.0,2.0,4.0,8.0,3.0,2.05,2.0,30.0,134.0,30.0,208.0,24006.59,1050.02,1335.59,2.5,4.0,4.0,4.0,3.0,teamEdward
4.0,2.23,7.0,15.0,27.93,13.26,15.0,44.0,20.0,44.25,8.0,41.0,2.0,7.0,17.0,7.0,2.12,2.0,22.0,75.0,24.0,114.0,20103.19,477.77,1118.73,3.0,10.0,4.0,10.0,3.0,teamEdward
2.0,2.33,2.0,5.0,2.0,13.62,8.0,13.0,7.0,5.0,5.0,5.0,3.0,4.0,7.0,3.0,2.18,2.0,8.0,10.0,8.0,13.0,106.61,36.87,7.81,2.5,4.0,4.0,4.0,4.0,teamEdward
2.0,3.0,2.0,2.0,2.0,2.0,2.0,19.0,9.0,2.0,2.0,2.0,4.0,4.0,9.0,3.0,2.12,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0,2.0,2.0,4.0,teamEdward
2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,teamEdward
4.0,2.11,2.0,7.0,24.22,21.64,10.0,21.0,4.0,7.5,10.0,13.0,3.0,3.0,5.0,3.0,2.05,5.0,9.0,18.0,11.0,29.0,596.0,110.0,35.0,3.0,2.0,2.0,2.0,3.0,teamEdward
2.0,2.29,5.0,11.0,14.5,17.380000000000003,17.0,37.0,25.0,25.25,12.0,33.0,4.0,8.0,21.0,3.0,2.17,2.0,23.0,48.0,23.0,79.0,8315.66,359.58,463.87,2.17,13.0,4.0,12.0,3.0,teamEdward
2.0,2.43,2.0,3.0,2.0,14.97,8.0,11.0,11.0,6.8,7.0,10.0,3.0,5.0,10.0,5.0,2.33,3.0,9.0,12.0,9.0,20.0,300.89,64.27000000000001,18.61,3.0,2.0,2.0,2.0,4.0,teamEdward
