theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,y
1.5544232,-0.66392283,-0.063246814,0.39879992,0.24797386,-0.94890575,-1.1173543,-0.18068313,0.79694299
-1.1021475,1.4061918,0.78112222,-1.5032606,-0.24407874,-1.0233729,-0.3680986,-0.79353179,0.58148012
1.0248468,-0.55446231,-1.1110785,1.0365857,-1.4730082,-1.2486722,-0.35231424,1.4357563,1.105752
-0.56901513,1.1253048,-0.61073377,1.0423522,-1.2864503,-0.93895908,0.60279166,-1.5401823,0.41208922
-0.66051887,-1.3607004,1.3919586,0.32525473,0.63711153,0.46188751,0.59054703,-0.17630119,0.24686742
-0.024896856,-0.37574255,0.21990469,-0.66441565,0.058453574,1.1797105,0.053817056,0.030909611,0.87795666
-0.22434632,-1.1518501,-0.55996345,0.60389207,-1.3426642,0.95911444,0.89933927,0.93966851,0.56283038
0.87125739,1.5286156,0.38694082,-0.14412234,-0.53083379,-0.43147841,0.22475833,-0.67378555,0.68378925
-1.4303103,-0.84234687,-0.34659174,-0.93214989,0.011374878,-0.84631085,-1.3684691,0.54368587,0.52695627
0.71441889,1.3175314,1.3621939,0.39704175,-1.446541,-0.77371745,0.96007557,-0.49560917,0.28968133
-1.4667657,-1.4943508,-0.89805835,-1.2437378,-1.2164215,-0.5002737,-0.27942939,1.0031289,0.94819161
0.81054992,-0.26967676,1.4746882,1.1071748,-0.23036737,1.4855128,1.4867313,0.75693251,0.618015
1.219678,0.94036278,1.1785891,-0.79109727,0.40047874,0.73306095,0.57937872,-1.5471729,0.27264556
-0.21121773,1.1599367,1.4728285,1.1620307,-1.2295632,1.0932824,-0.85230964,-0.7116173,0.43568442
0.59112835,1.0160953,0.088635902,0.95553081,-1.1998164,0.4370514,0.13269935,1.3295604,0.53710447
-0.62332943,0.4449707,0.93899144,0.88464242,0.88971345,1.5103723,0.16018085,0.0049022963,0.20930304
1.317239,1.174635,1.1945936,0.10319485,1.073367,-0.18714077,-1.5303895,1.1268741,0.42871294
-1.2719274,-0.22846541,-1.0374189,-0.18831494,-1.0179224,-1.052794,0.69500372,-1.470093,0.65847158
-0.24664168,-0.041212314,-0.22935138,1.139517,1.5166327,0.43393653,0.51146258,-0.71495957,0.38635644
0.35986743,0.96182947,-1.5346446,1.5063832,-0.28474545,1.5239441,0.28586551,-0.60979501,0.94190878
-0.0049601371,1.1357293,-1.1727823,-1.4350549,-0.23235323,-0.64747299,0.62394699,0.13559057,0.84357437
1.4020869,-1.2268987,-0.48519387,-1.3610347,-1.010063,0.85387185,0.55219618,1.4454254,0.73244365
0.16801669,1.3962488,0.70539746,1.5029643,-0.5712585,-0.57839283,-0.71033589,-0.7551176,0.60030342
1.0657923,-0.18858663,1.3718354,0.25194074,-0.34363096,-1.1187614,0.3322346,-0.48385066,0.41776307
-0.078528048,0.58330122,-0.63398633,-0.2936986,-0.6024488,0.30849134,1.2004729,-1.2025002,0.64942459
-0.010220723,0.56884591,-0.51579689,0.69495321,0.70045197,0.25143558,-1.1994643,1.5319521,0.89985393
-0.21652643,0.66855409,1.3206118,0.7299878,0.54252973,-0.99968561,-1.4837178,0.67868472,0.5837471
1.2815063,-0.64715219,-1.2956633,-0.38542969,1.2280997,-0.2972696,-0.43460368,-1.258468,1.2293144
-1.0856476,1.547974,1.5202635,0.16318284,0.53547196,0.81197393,0.085291317,0.63361656,0.4755539
1.1688519,-0.13798307,-0.22819614,0.90257516,-0.45904922,-0.16752407,0.73593621,-0.10708235,0.46612358
0.05298892,-0.39197721,-1.0713615,-0.68136255,0.14717255,-1.0932151,1.4603932,0.31724179,1.1239884
0.14156941,-1.3736481,-0.39090365,-1.173982,-0.22309361,-0.85773306,1.4070938,-0.50344127,1.1188766
-0.064261845,1.2126491,-1.2264503,0.19975012,0.47100469,0.059083453,0.094945382,0.94813887,1.0035491
-0.80020631,-1.2450119,-0.461399,0.27871508,1.3582849,-0.0032132228,1.148331,0.13342372,1.0537751
0.55510814,-0.73310178,-0.59640556,0.6587652,-0.10671219,-1.5360948,0.44420797,-0.55642112,1.0669221
1.5601774,1.0973814,1.5157542,0.25806681,-1.4991655,-0.98467084,0.45099219,1.0617229,0.43349677
-1.0529396,-1.4059493,-0.2293119,0.40308112,0.91881467,0.85258862,0.62602199,0.86310202,0.96294324
0.71575602,0.088829784,0.072775223,-0.51588266,0.71940664,-0.96788317,1.3951064,0.38531968,0.95626247
0.92318811,1.0036048,-0.77567753,0.90686777,-1.5132357,0.31771215,0.24431999,1.3076679,0.36790813
0.33901652,-1.2464702,0.32302244,1.0490499,-0.21507151,0.61083115,-0.99724071,-0.63167645,0.67667338
0.7539282,-0.82772001,-0.92823308,1.0000788,-0.66209788,-1.2528602,-0.0062588836,-0.80921817,0.97476035
0.17149404,1.4157033,0.37907377,-1.0066274,-1.1077516,1.0724505,0.79013795,-0.4537285,0.80945214
-0.91861116,-1.5198334,-1.3457573,-1.4919851,-0.78228259,0.34617621,0.10311398,1.195987,0.83041144
-0.6760562,-0.084028336,-0.032324794,-0.062267457,-0.94240006,-1.2007308,-1.1346985,0.20800846,0.87916753
0.57029931,1.0888854,0.22372261,1.1966795,0.56882992,-1.5701518,-0.21054177,-0.016365727,0.89125612
-1.4991436,-0.6079312,0.86022943,1.214206,1.2877578,-0.27664385,-0.52643441,-0.040024633,0.94968937
0.083789302,-1.4987466,1.1062042,-0.80608265,-0.94523204,0.9574579,-0.32901642,-0.44962141,0.61561997
-0.091388537,-1.390222,0.53961984,0.52777044,-0.8146551,1.5130064,-0.31823525,-0.19479219,0.19352863
-0.99009902,0.2240439,-1.3569917,-0.64475247,0.78287625,0.83268144,1.1741767,-0.17263083,0.71942733
-1.3240422,1.207259,-0.37823197,-0.38923455,-0.72963808,-0.24800745,1.4222714,-1.5068883,0.65369962
0.91682832,0.84346877,1.0497852,-1.4367491,-0.67627357,0.19282787,1.0840471,0.11413084,0.65914651
0.72186976,-1.467711,1.3044878,0.11291518,-1.0241605,-0.74199559,-1.0321986,0.5437856,0.66616404
-1.3623169,0.43850119,1.0776403,-0.2603388,0.93713501,0.56872771,0.92303773,-0.55397755,0.33446791
0.011727867,-0.51440673,1.3868749,1.1685004,0.51056769,0.50264671,1.0475801,0.80457215,0.32079621
0.1774636,0.56521961,-0.35469108,1.3548647,-0.14908916,-1.5623131,0.85478235,-0.72575464,0.73498556
0.62504176,-0.91919664,0.4942625,1.3707577,0.095495958,0.79807352,1.3749555,-0.47516398,0.57189688
-0.90614421,0.072795941,1.4007191,1.4641836,-0.28619067,1.0458828,-1.354088,-1.5404252,0.35021383
0.52705167,-0.66888116,0.16191428,-0.33344516,1.5431433,0.46987626,0.60255638,0.4647325,0.77740139
-0.40182571,0.96641526,1.4799142,-1.3000397,-0.11345071,0.27092223,-1.3406061,-0.66467241,0.72655044
-0.42594056,0.48967183,0.5705349,-0.1252949,0.89265778,0.074376716,-0.56347177,0.34280618,0.92987932
0.54964065,1.1628256,0.29544135,-0.64147983,0.69693498,-0.74838034,0.27232365,1.0332286,0.77677867
-0.092976203,-1.4445843,-1.3152412,0.90537264,0.85383192,-1.3872748,-1.4749608,-0.67507547,0.84750867
1.362745,-0.55545953,0.6303574,-1.2268886,1.2467762,0.040718039,0.27108929,-0.70973021,0.74475693
0.83993261,1.180155,-0.54333968,-1.1832228,-1.4350212,0.032791064,0.01661801,0.32223024,0.33217659
-0.22918853,-0.96954996,-0.63915664,0.33313937,1.0471561,-0.20584408,-0.77568326,-0.17066987,1.3441938
-0.35497137,0.43443478,-1.5581423,0.83225176,-1.0043573,0.50710992,-0.36138417,-1.4001546,0.48538083
0.9950581,-0.37032628,-0.16727643,-1.4508925,1.265776,0.98905628,-1.3504194,-0.036941709,0.88820113
-1.2747898,-1.4332392,0.55248201,1.1500682,-1.3003353,1.391191,-0.43923428,-1.5172841,0.37723899
1.295166,-0.54906223,-0.95944408,0.96143381,0.14754275,0.56695181,-0.13785637,0.16613711,0.87129102
0.8757619,-1.1580977,-1.3843461,-0.20135921,-0.37671994,0.83863122,-0.62632286,0.99627377,0.88183805
-0.81442099,1.3783112,0.71235849,-0.26214283,-1.105958,-0.31404611,1.307053,-1.0471543,0.38818114
-0.30331309,-0.26057458,0.60289305,1.5166124,0.033794049,-0.56948532,0.7957385,-0.78612106,0.11625889
-0.67567466,-0.47285367,-0.57089107,-1.1636613,-0.17929255,0.0094006626,-0.26687167,-0.48490653,1.0432342
-0.52186566,-0.85378403,-1.4738907,-1.3724275,-1.3700137,-1.0707835,-1.0939479,-1.4079037,0.94536982
0.51843299,1.4013398,0.5273119,0.078398514,-0.65161205,1.0511752,1.0039328,1.1050724,0.45317737
-0.90828175,0.58412778,-1.2693493,0.93069039,-1.3274166,1.0018088,-0.18955932,-0.12040877,0.62562436
0.58723712,1.5498197,1.0100093,1.5126761,0.70597138,1.4792435,1.0049411,0.23563729,0.38118323
-0.54120988,-0.72179615,1.3534311,0.85442455,-1.3305929,0.59999845,0.87155937,-1.5338721,0.4865536
0.41957835,0.86870892,-0.97146151,0.67079912,1.5111015,-0.43610609,0.5404122,0.68226165,1.2054181
-0.69987338,0.92384065,-1.5298922,0.40318591,0.35988078,-0.32622371,-0.40713958,0.40882912,1.097415
-0.080091847,-0.23133994,-0.76441913,0.76359103,-0.36378036,-0.90821009,1.0239463,1.2310013,0.84910982
-0.31992021,-0.55322116,0.18234108,1.3695635,0.013875128,0.0060771643,-1.0294349,-1.2005349,0.60018064
1.3122171,0.026658457,1.4277464,-1.4545811,-1.330528,-1.1662891,-1.1617498,-1.5606506,0.40830269
-0.62372898,-0.32078288,0.26664684,1.2880132,0.12629931,0.25938151,-0.72817828,0.20698118,0.74548852
1.3584451,0.0083344893,-1.2606366,1.1029067,1.2304643,-1.1225094,1.253256,0.46180647,1.1817707
-0.4021802,-0.59850633,-0.082191666,-0.42025593,1.1536938,1.4265052,-0.33852535,-0.58780238,0.78461201
0.35986743,0.96182947,-1.5346446,1.5063832,-0.28474545,1.5239441,0.28586551,-0.60979501,0.94190878
-0.45604466,1.3904162,1.5188792,0.36763857,0.69973792,0.59874136,0.66791244,-1.5315053,0.18572813
-0.38734034,-0.045103736,-0.91369176,0.41732054,-0.0020036733,0.61865017,-1.5554326,-0.5734978,1.0534869
-1.4635027,-0.55216783,0.17191814,-0.55988325,-0.18691928,-0.21396523,-0.69196347,-0.3311111,0.97211489
-0.69095954,0.7100865,-0.90836088,1.0851047,0.77092555,0.80590379,1.4234166,1.0650174,0.60387434
-1.4027386,-0.053613448,0.77886556,-0.27351006,-1.1807229,-0.12333999,0.87966203,0.75731269,0.6109517
-1.3569833,-1.111302,0.19646496,-0.73176744,0.97540025,-0.63317817,0.4419853,-0.25932947,1.2204059
1.4483985,-0.76780226,0.16255349,1.3943287,0.52532805,0.44232685,-1.5059731,0.25045072,0.94183808
-0.55487232,1.5596837,1.4833457,-0.47610839,0.099494209,1.516044,-0.083012288,-0.71507074,0.25673592
-0.56218908,0.57907632,0.3228205,-1.0277633,-0.63570542,1.2065941,-0.63603873,-1.0579317,0.72054327
-0.96913329,0.55436731,-0.19998715,1.5700981,1.1714722,1.2151347,-0.51297201,-0.068455683,0.81634699
-0.65289995,1.3316216,-1.4966213,-1.140349,-1.0774927,1.0558983,1.2096939,-0.10510577,0.98736793
-0.98924523,0.67316132,-0.11451668,0.74139206,1.2373931,0.31496433,-0.24779454,0.0050353779,1.1073704
-0.52381297,-0.55712642,0.34485468,0.034228569,0.63834774,1.2489881,0.56924507,-0.11984018,0.3757378
-1.2759463,-0.47274014,0.2632275,1.1304358,-1.3494038,-1.3292619,0.98136743,-1.2087802,0.59445409
0.23131368,0.47814957,0.79659578,-0.9859072,-1.3921907,1.393077,0.11614429,-1.3126239,0.58827808
-0.31014716,-0.77595729,-1.3147307,0.6487841,0.47837151,-0.41899838,0.89165494,-1.3408428,0.76947995
-0.20490451,-0.4352068,-0.93603922,-1.4924117,1.3967833,1.4181126,0.53538924,-0.17588047,0.915302
0.050150178,-1.4245744,0.95578897,-0.54636812,-1.5663391,-0.38501004,-0.89679419,0.87509696,0.59256663
0.21190791,-1.4076787,1.456146,1.3502096,1.2581748,-0.26416128,-0.069409711,-0.32857687,0.34896355
0.54687112,-0.13975144,0.82112683,0.57351849,-0.62036845,-1.4189988,-0.89155551,-0.17200184,0.71493288
0.81836239,-1.2329899,0.12774025,0.8993153,-1.0985026,0.93012139,0.69242825,0.37387424,0.068149518
1.1597636,0.78745047,-0.031024924,-0.065334563,-0.51659449,-0.92496652,-1.362287,-0.1894806,0.66586121
0.61420052,-1.3759044,0.54792871,-1.5492893,-1.2298597,1.126213,-1.1342482,-0.82059353,0.72787717
-0.64826199,-0.4970201,0.66784236,0.07799852,-0.6213223,-0.11657795,-1.2347332,-0.62434516,0.86063678
-0.78895614,-0.68835433,-0.75161224,0.96460444,0.96162056,0.16722704,-1.4681697,-0.4261409,1.3149153
1.027634,0.28926163,1.1446276,-1.2611822,-1.0519441,0.76890541,-1.0231752,0.54276431,0.43486606
1.4863639,-1.5532217,-0.26026154,-0.59012879,-1.3742327,1.0285707,1.2925106,1.3930384,0.8211641
-0.57296475,0.10592509,-0.87748063,-1.4348354,-0.99190549,0.19820025,-0.37418558,0.00067261974,0.47152773
1.1448349,1.4391842,-1.5570482,-1.2988793,-1.0290915,1.4745309,0.50425693,0.32671085,0.94822013
0.85881464,-0.86264808,1.5299899,-0.3186351,1.3061249,-0.22362802,-1.0781082,1.067901,0.57329966
-0.73839283,0.6038789,0.5027387,-1.4288192,1.0595527,-0.61207317,-1.3533449,1.1427064,0.36610634
-0.28494237,1.2684874,0.62877135,-0.061018663,-0.032426228,-0.38562193,-1.0541402,1.4886787,0.50505562
1.0939083,0.75150721,1.1097049,0.41497649,-0.21420197,1.2329888,-1.496086,0.5517372,0.57783603
-0.38120445,-0.84232279,-0.71789593,-1.5373239,-0.8243949,-1.4263152,-1.087821,-0.59299466,0.63800059
0.27126088,-1.0953872,0.15707469,-0.86614212,-1.3650658,-0.83903902,-0.43056895,0.38969689,0.52891837
-1.396296,-0.3240258,0.57287419,-0.52278089,-1.0987951,0.9173301,-1.4668872,0.58060217,0.66346603
-0.36192976,-0.33561779,-1.1860543,-0.72719822,0.68702758,0.20837085,-0.015579695,1.4775354,1.0787808
-1.5473878,1.4220871,1.0875758,0.18604652,-0.78232439,-0.13870398,0.65922903,1.4503427,0.55841646
0.70491718,-1.3876622,0.16161466,0.4720159,-0.72822162,-0.18309384,-1.0360332,-0.63677311,0.88060721
1.2074859,0.57067299,0.36417363,-1.4901681,-0.060289547,1.029467,-1.3285457,1.1296529,0.36303447
1.1264829,-0.74798514,0.87598473,-1.0703558,-1.0041756,-0.79582964,0.93192379,-1.1275711,0.52063744
0.9691447,-0.21306204,-1.2944666,-0.75985075,-0.089607721,0.01500861,1.3617556,0.78335284,0.86713013
0.61961551,1.5255369,1.4102891,-0.54553124,0.91031514,-0.44486183,1.0928203,-0.8651673,0.69509654
0.40728168,0.28108749,0.37659157,1.025146,0.58917494,-0.87948412,1.3540545,1.1719156,0.71670385
-1.5139458,0.28893851,0.35311678,-1.3758502,-1.0534551,0.58542049,-0.2016015,-0.29338562,0.82993023
0.83993261,1.180155,-0.54333968,-1.1832228,-1.4350212,0.032791064,0.01661801,0.32223024,0.33217659
0.69521878,-0.24121768,-0.65624933,-0.83721942,-0.92230554,0.43518788,-0.93895562,0.12226315,0.47845854
-0.81906534,-1.0196537,0.033707373,0.38633973,1.515773,1.4851318,1.4812731,0.83400109,0.47977757
0.6924283,-0.29323338,-1.2715415,1.4363667,0.83702294,-1.120267,0.75951774,1.1808816,1.0207262
1.313668,1.0963101,0.28101812,1.3264642,-0.36432804,-0.099487222,-1.1620636,-0.86105256,0.69278448
0.20727177,0.62455244,0.61993278,0.92193775,-0.057733856,-1.1038011,0.50613615,1.1632536,0.79099463
-0.97965382,0.91788207,0.28956509,1.2195075,-1.2699246,-0.045221539,-0.59486537,-1.1018529,0.4508487
-0.33879512,1.0016871,1.2438564,1.3004387,0.52858521,0.56592739,0.35072406,-0.043004208,0.27451816
0.61891648,0.39301157,-0.47730614,-0.47988545,1.559001,0.70610472,0.94448274,-0.029196089,0.77844725
0.1112062,-0.27277529,0.38857305,-1.2459397,1.4832193,1.0019455,0.79008164,0.39950149,0.82114441
-1.0188033,1.1253358,-0.45328988,-0.32216141,0.22081758,-0.39708551,-1.1271009,-0.51994531,0.95035317
0.54324016,-1.2618301,-1.0311777,1.4554039,-0.85867612,0.39409084,0.91215611,0.32676466,0.4910439
1.4766444,1.5236769,1.1731431,-0.44943458,-1.5196486,0.30967802,-0.75032838,-1.0838901,0.37527898
1.2015751,1.1871449,-0.0037341035,-1.1241777,0.13649563,-1.1823372,-0.58759875,-0.39213876,0.48858457
-1.5002912,-0.18430024,0.28871718,-1.2286552,0.6081236,1.4028327,-0.34680937,-0.046803211,1.0342999
1.0710326,-0.59837325,0.40608306,0.050159357,1.3229548,-1.0026872,-0.99016813,0.23506851,0.66713025
-0.29897022,-0.48012553,-0.5955136,0.35649403,0.23316008,0.70748913,-0.34801824,1.397239,1.0795198
0.5192743,1.3844413,-0.32052294,-0.93625557,-0.093379689,-1.426106,1.0712322,-0.066841089,0.92881094
0.33088042,-0.18804455,0.71003224,0.12288808,-1.1618724,1.3806642,-0.43500877,0.26682562,0.35458093
-1.4610562,-1.0385668,0.77240416,0.33743731,1.1994429,0.83861745,1.2052111,0.91119239,0.41368119
-1.0517547,0.56593261,-0.91089504,-1.4902697,1.0347587,-0.7917713,0.69232525,-1.4222751,1.1869947
-1.5253889,0.92090744,-0.29715576,-0.87608321,1.0689088,0.40671243,1.5038052,0.77802122,0.95732344
0.066331183,-0.90835287,-0.91068922,-0.85201084,0.89131316,1.3369888,-0.12563488,-0.93511393,0.95122876
-0.97256636,-1.1658314,-0.22293939,-0.15578492,0.86707999,0.32972014,-0.19846652,-0.090846116,1.3459304
-0.45562546,-1.0136944,-1.1239511,-1.2015316,0.0064498383,0.8417977,0.25265465,-0.17941899,1.1341663
0.91768472,0.33141914,0.11662815,-0.73547376,1.0790496,0.71979988,0.27406382,0.16754699,0.89561183
1.5494152,-0.5082332,1.1394357,0.032213234,-1.4943246,0.37928374,-0.018723194,-0.059439414,0.48217974
0.87446283,0.40726062,0.55336145,0.96470119,-1.5658095,-1.1046767,1.3256741,-0.19799561,0.21537367
-1.5362581,-1.2820795,0.50997425,0.37347873,0.34468569,1.2788811,0.88117366,1.1230416,0.40850776
-1.396296,-0.3240258,0.57287419,-0.52278089,-1.0987951,0.9173301,-1.4668872,0.58060217,0.66346603
0.94129226,-1.3723521,-0.5294091,-1.3126691,-0.14049381,-1.3621885,-0.6867661,-0.84536341,0.56987225
-0.49981308,0.90349351,0.50323651,0.024666821,-1.4460269,-0.11160953,-0.71899675,-1.2755488,0.49041242
1.1200333,-0.33282065,-0.16517515,-0.85165651,-0.42001013,-0.40763414,-0.83890003,0.61733307,0.44637458
-0.78866976,-0.30273493,-1.5150352,-0.014866094,0.52065537,-0.51557646,-1.3391134,1.0454493,0.82124895
0.31101998,-0.3846658,-0.46813742,0.75151687,-1.3240369,0.84613234,1.3095655,-0.44808254,0.69374714
1.3942935,-0.55189607,0.50281534,-1.3959594,-0.59357594,0.67341565,0.64966321,0.66171761,0.78783674
1.3858113,0.53499854,-0.55243932,-1.1820146,-1.2283596,0.593287,-0.4346181,0.1510445,0.48416737
-0.12045949,-0.49189064,-0.22219244,1.3349624,1.3263221,0.42916786,0.0093479083,1.2524922,1.0352568
0.14339183,0.70401555,1.4325384,-0.074826644,0.13531541,-0.38762213,0.94304149,-1.1295069,0.28341746
-0.49685729,-0.85830448,-0.5928274,0.080820171,-0.26905805,0.59957485,-0.021622577,0.5901734,0.96224466
0.26391961,-0.66247708,-1.547069,-0.43576478,-0.92683106,-0.0841676,-0.71790631,-0.42609592,0.71765404
0.56217475,0.24112351,-0.0058027223,1.2996575,1.3238898,-0.62396516,1.5402435,-1.4786228,0.17537636
-0.78775686,0.5411227,-0.33117802,1.0095421,-0.068975375,-1.0837111,-1.47281,-0.80988774,1.0160045
-0.031051552,-0.14487348,-0.052331315,-0.65691342,0.87541748,-1.0688441,0.1778582,-0.25060584,0.9562701
0.77222765,-0.94267227,-1.0659422,-0.67523393,1.1784562,-0.87761215,-1.0268428,1.4892792,0.50932272
1.5619727,-0.15692825,1.0574362,-0.53499775,-0.28195959,0.70092776,-0.31082038,0.9939929,0.59682774
0.26846907,-0.66362306,0.1873744,-0.78147996,0.47748465,-1.2813736,1.0118,0.78895202,0.75251655
0.40048832,0.54041936,1.0170643,-1.4627661,0.56000246,0.61516298,0.96222005,0.34450455,0.69454787
1.2028802,0.67375381,1.528943,-0.96556582,-0.44798674,0.063578292,-0.40419609,-0.60092005,0.44756969
-0.84257301,-0.21915287,1.1002745,0.9991921,-0.96073079,-0.13599942,-0.73492914,0.29156198,0.76898642
-0.97462155,-1.5262471,-0.75916994,0.90498158,-0.060898849,-0.99593113,1.1419747,1.1381542,0.99087222
1.5297463,0.086496592,1.2568807,-1.1720942,1.0346069,-1.5160385,0.026672728,-0.46132088,0.56841116
-1.4285361,-0.2439973,0.027323716,0.65612505,-1.4059881,-1.4739373,1.1797259,1.016508,0.90136538
-0.89055425,-0.22957717,-1.2522774,-0.80662509,0.25365929,-0.12821014,-1.0988621,1.0157936,0.77484366
-0.53431821,-1.2908607,-1.2241263,0.076815671,-1.1779427,1.2796811,-0.83758599,-1.3462037,0.78739238
0.32718406,-1.22867,0.15803416,1.4026375,0.52099348,-1.0355216,-0.768651,-1.5290052,0.83611563
0.13684727,-0.61282324,0.32512827,1.5386379,-1.2169368,-0.10846689,-0.98409052,1.0977404,0.85457354
1.5039145,0.19362698,1.3719192,0.2114508,1.5538751,1.1870133,-0.25645649,-1.5469915,0.25499318
-0.07827285,0.33831456,-1.3794729,-1.5540381,-0.30240373,-1.4884684,1.4931314,-1.1588914,0.85270274
1.5350187,0.36062435,1.554472,-0.49216983,-0.44138425,-0.40310075,-1.3892757,1.5122097,0.46518288
0.11494109,-0.85098406,1.3714862,-0.015927381,1.4452196,0.60146672,0.60104331,0.59556858,0.37549519
-0.90683473,1.103796,-0.25476738,0.15215535,-1.0737135,1.257823,-1.0606674,0.15949485,0.69568265
0.75517913,1.0765777,1.0702103,1.2807349,1.2513704,1.0147347,-1.1087244,0.42847418,0.70957724
0.061857385,-1.2580129,0.82244105,0.24259153,1.3232442,1.0198771,1.3115386,-1.0616523,0.58315783
